timestamp,num_processes,matrix_size,avg_time,speedup,efficiency,check
2025-11-07T17:34:07.483447,1,72,0.000198,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,84,0.000292,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,108,0.000589,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,144,0.001302,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,180,0.002563,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,228,0.005572,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,288,0.011610,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,372,0.024102,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,468,0.048034,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,600,0.089748,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,768,0.184136,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,984,0.410193,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,1248,0.877375,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,1608,2.409824,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:07.483447,1,2052,5.553169,1.000000,100.000000,OK (abs=0.000000e+00 rel=0.000000e+00)
2025-11-07T17:34:58.776961,4,72,0.000093,2.049000,51.230000,OK (abs=2.486900e-14 rel=1.023217e-15)
2025-11-07T17:34:58.776961,4,84,0.000118,2.488000,62.200000,OK (abs=3.197442e-14 rel=1.115722e-15)
2025-11-07T17:34:58.776961,4,108,0.000221,2.840000,70.990000,OK (abs=4.263256e-14 rel=1.233833e-15)
2025-11-07T17:34:58.776961,4,144,0.000456,3.014000,75.340000,OK (abs=7.815970e-14 rel=1.700096e-15)
2025-11-07T17:34:58.776961,4,180,0.000882,3.060000,76.490000,OK (abs=1.065814e-13 rel=1.938994e-15)
2025-11-07T17:34:58.776961,4,228,0.001617,3.784000,94.590000,OK (abs=1.421085e-13 rel=2.061117e-15)
2025-11-07T17:34:58.776961,4,288,0.003454,4.025000,100.630000,OK (abs=2.415845e-13 rel=2.712132e-15)
2025-11-07T17:34:58.776961,4,372,0.012395,2.230000,55.740000,OK (abs=3.268497e-13 rel=2.881338e-15)
2025-11-07T17:34:58.776961,4,468,0.013873,5.685000,142.130000,OK (abs=4.263256e-13 rel=3.041934e-15)
2025-11-07T17:34:58.776961,4,600,0.028613,4.844000,121.110000,OK (abs=7.105427e-13 rel=4.114628e-15)
2025-11-07T17:34:58.776961,4,768,0.082175,3.412000,85.290000,OK (abs=1.051603e-12 rel=4.728209e-15)
2025-11-07T17:34:58.776961,4,984,0.162210,3.595000,89.870000,OK (abs=1.421085e-12 rel=5.010475e-15)
2025-11-07T17:34:58.776961,4,1248,0.311273,4.474000,111.850000,OK (abs=2.216893e-12 rel=6.285932e-15)
2025-11-07T17:34:58.776961,4,1608,0.914655,3.821000,95.520000,OK (abs=3.581135e-12 rel=8.021954e-15)
2025-11-07T17:34:58.776961,4,2052,1.835769,3.626000,90.660000,OK (abs=4.320100e-12 rel=7.612361e-15)
2025-11-07T17:35:47.152021,9,72,0.000106,3.079000,34.220000,OK (abs=2.842171e-14 rel=1.169391e-15)
2025-11-07T17:35:47.152021,9,84,0.000135,3.649000,40.540000,OK (abs=3.552714e-14 rel=1.239691e-15)
2025-11-07T17:35:47.152021,9,108,0.000221,4.904000,54.490000,OK (abs=3.907985e-14 rel=1.131014e-15)
2025-11-07T17:35:47.152021,9,144,0.000438,5.459000,60.650000,OK (abs=7.105427e-14 rel=1.545542e-15)
2025-11-07T17:35:47.152021,9,180,0.000786,6.392000,71.020000,OK (abs=1.065814e-13 rel=1.938994e-15)
2025-11-07T17:35:47.152021,9,228,0.001571,4.085000,45.390000,OK (abs=1.421085e-13 rel=2.061117e-15)
2025-11-07T17:35:47.152021,9,288,0.003120,6.738000,74.860000,OK (abs=2.131628e-13 rel=2.393058e-15)
2025-11-07T17:35:47.152021,9,372,0.006512,4.818000,53.530000,OK (abs=3.552714e-13 rel=3.131889e-15)
2025-11-07T17:35:47.152021,9,468,0.012329,6.533000,72.580000,OK (abs=3.694822e-13 rel=2.636343e-15)
2025-11-07T17:35:47.152021,9,600,0.026304,6.504000,72.270000,OK (abs=7.105427e-13 rel=4.114628e-15)
2025-11-07T17:35:47.152021,9,768,0.057682,6.002000,66.690000,OK (abs=1.080025e-12 rel=4.855998e-15)
2025-11-07T17:35:47.152021,9,984,0.114733,6.146000,68.290000,OK (abs=1.250555e-12 rel=4.409218e-15)
2025-11-07T17:35:47.152021,9,1248,0.226104,7.278000,80.870000,OK (abs=2.330580e-12 rel=6.608288e-15)
2025-11-07T17:35:47.152021,9,1608,0.469612,7.887000,87.630000,OK (abs=3.353762e-12 rel=7.512623e-15)
2025-11-07T17:35:47.152021,9,2052,0.999059,6.728000,74.760000,OK (abs=4.092726e-12 rel=7.211711e-15)
2025-11-07T17:36:44.915914,16,72,0.000421,0.923000,5.770000,OK (abs=2.131628e-14 rel=8.770430e-16)
2025-11-07T17:36:44.915914,16,84,0.000088,6.885000,43.030000,OK (abs=3.197442e-14 rel=1.115722e-15)
2025-11-07T17:36:44.915914,16,108,0.000270,4.457000,27.860000,OK (abs=3.907985e-14 rel=1.131014e-15)
2025-11-07T17:36:44.915914,16,144,0.000364,8.822000,55.130000,OK (abs=7.815970e-14 rel=1.700096e-15)
2025-11-07T17:36:44.915914,16,180,0.000739,8.560000,53.500000,OK (abs=1.065814e-13 rel=1.938994e-15)
2025-11-07T17:36:44.915914,16,228,0.001148,11.235000,70.220000,OK (abs=1.278977e-13 rel=1.855006e-15)
2025-11-07T17:36:44.915914,16,288,0.002707,9.588000,59.920000,OK (abs=2.273737e-13 rel=2.552595e-15)
2025-11-07T17:36:44.915914,16,372,0.006876,8.039000,50.240000,OK (abs=3.836931e-13 rel=3.382440e-15)
2025-11-07T17:36:44.915914,16,468,0.010958,10.162000,63.510000,OK (abs=4.263256e-13 rel=3.041934e-15)
2025-11-07T17:36:44.915914,16,600,0.019889,11.638000,72.740000,OK (abs=7.105427e-13 rel=4.114628e-15)
2025-11-07T17:36:44.915914,16,768,0.037909,12.627000,78.920000,OK (abs=9.947598e-13 rel=4.472630e-15)
2025-11-07T17:36:44.915914,16,984,0.096767,10.811000,67.570000,OK (abs=1.421085e-12 rel=5.010475e-15)
2025-11-07T17:36:44.915914,16,1248,0.209477,11.641000,72.760000,OK (abs=2.273737e-12 rel=6.447110e-15)
2025-11-07T17:36:44.915914,16,1608,0.467879,10.767000,67.300000,OK (abs=3.524292e-12 rel=7.894621e-15)
2025-11-07T17:36:44.915914,16,2052,0.914409,7.854000,49.090000,OK (abs=4.320100e-12 rel=7.612361e-15)
